카테고리,상품명,가격,상품,상세,열량(kcal),탄수화물(g),당류(g),단백질(g),지방(g),포화지방(g),트랜스지방(mg),콜레스테롤(mg),나트륨(mg),칼슘(g),,,,,,,,,
비스킷/샌드,롯데 제로 초콜릿칩 쿠키 168g,4480,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 초콜릿칩 쿠키 168g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제로 초콜릿칩 쿠키 168g_상세.jpeg,398,51,0,7,22,12,0.5,35,370,0,,,,,,,,,
비스킷/샌드,롯데 마가렛트 오리지널 176g,2200,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 마가렛트 오리지널 176g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 마가렛트 오리지널 176g_상세.jpeg,112,13,6,1.5,6,3.3,0.2,15,80,0,,,,,,,,,
비스킷/샌드,롯데 웨하스 바닐라맛 50g,630,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 웨하스 바닐라맛 50g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 웨하스 바닐라맛 50g_상세.jpeg,285,31,15,2,17,12,0,1.5,45,0,,,,,,,,,
비스킷/샌드,롯데 웨하스 딸기맛 50g,630,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 웨하스 딸기맛 50g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 웨하스 딸기맛 50g_상세.jpeg,285,33,15,2,16,11,0,1.5,45,0,,,,,,,,,
비스킷/샌드,롯데 롯샌 파인애플 105g,1360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 롯샌 파인애플 105g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 롯샌 파인애플 105g_상세.jpeg,270,36,15,2.2,13,7,0.5,0,150,0,,,,,,,,,
비스킷/샌드,롯데 카페크런치 102g,1360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/%EB%A1%AF%EB%8D%B0%20%EB%A1%AF%EC%83%8C%20%EC%B9%B4%ED%8E%98%ED%81%AC%EB%9F%B0%EC%B9%98%20102g_%EC%83%81%ED%92%88.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/%EB%A1%AF%EB%8D%B0%20%EB%A1%AF%EC%83%8C%20%EC%B9%B4%ED%8E%98%ED%81%AC%EB%9F%B0%EC%B9%98%20102g_%EC%83%81%EC%84%B8.jpeg,252,34,22,2,12,6,0.6,0,350,0,,,,,,,,,
비스킷/샌드,롯데 와플메이트 144g,2880,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 와플메이트 144g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 와플메이트 144g_상세.jpeg,125,15,6,1,7,4.3,0.2,10,75,0,,,,,,,,,
비스킷/샌드,롯데 제크 오리지널 100g,1360,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제크 오리지널 100g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/롯데 제크 오리지널 100g_상세.jpeg,255,33,3,3,12,6.5,0.5,5,540,0,,,,,,,,,
스낵/봉지과자,오리온 꼬북칩 초코츄러스맛 65g,1600,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 꼬북칩 초코츄러스맛 65g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 꼬북칩 초코츄러스맛 65g_상세.png,161,18,7,2,9,5,0,0.8,55,0,,,,,,,,,
스낵/봉지과자,오리온 포카칩 오리지날 66g,1500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 포카칩 오리지날 66g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 포카칩 오리지날 66g_상세.png,175,19,11,2,10,7,0,5,40,0,,,,,,,,,
스낵/봉지과자,오리온 포카칩 어니언 66g,1500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 포카칩 어니언 66g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 포카칩 어니언 66g_상세.png,150,34,0,4,10,8,0,0,280,0,,,,,,,,,
스낵/봉지과자,오리온 썬칩 핫스파이시 64g,1500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 썬칩 핫스파이시 64g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 썬칩 핫스파이시 64g_상세.png,156,19,2,2,8,3.2,0,5,130,0,,,,,,,,,
스낵/봉지과자,오리온 오감자 양념바베큐소스맛 75g,2000,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오감자 양념바베큐소스맛 75g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오감자 양념바베큐소스맛 75g_상세.png,337,42,11,2,17,7,0,0,400,0,,,,,,,,,
스낵/봉지과자,오리온 오징어 땅콩 98g,1500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오징어 땅콩 98g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오징어 땅콩 98g_상세.png,147,17,6,4,7,1.7,0,0.7,100,0,,,,,,,,,
스낵/봉지과자,오리온 스윙칩 볶음고추장맛 60g,2000,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 스윙칩 볶음고추장맛 60g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 스윙칩 볶음고추장맛 60g_상세.png,176,15,1,2,12,4.3,0,0,140,0,,,,,,,,,
스낵/봉지과자,오리온 케이준 눈을감자 65g,1650,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 케이준 눈을감자 65g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 케이준 눈을감자 65g_상세.png,156,19,1,2,8,4.2,0,0,220,0,,,,,,,,,
스낵/봉지과자,오리온 치즈뿌린 치킨팝 81g,1700,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 치즈뿌린 치킨팝 81g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 치즈뿌린 치킨팝 81g_상세.png,417,53,22,4,21,9,0,0,390,0,,,,,,,,,
박스과자,오리온 초코송이 36g 2p,2000,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 초코송이 36g 2p_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 초코송이 36g 2p_상세.png,190,23,15,2,10,6,0,0,80,0,,,,,,,,,
박스과자,오리온 배배 80g,1500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 배배 80g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 배배 80g_상세.png,192,28,13,2,8,4.9,0,10,160,0,,,,,,,,,
박스과자,오리온 후레쉬베리 168g,2950,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 후레쉬베리 168g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 후레쉬베리 168g_상세.png,125,15,9,1,7,3.4,0,16,50,0,,,,,,,,,
박스과자,오리온 다이제 오리지날 468g,4000,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 다이제 오리지날 468g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 다이제 오리지날 468g_상세.png,188,27,8,2,8,3.4,0,0,250,0,,,,,,,,,
박스과자,오리온 찰초코파이 정 인절미 336g 12개입,6000,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 찰초코파이 정 인절미 336g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 찰초코파이 정 인절미 336g 12개입_상세.png,117,18,8,1,4.6,2.8,0,2,90,0,,,,,,,,,
박스과자,오리온 오뜨 치즈 288g 12개입,5890,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오뜨 치즈 288g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오뜨 치즈 288g 12개입_상세.png,110,12,7,2,7,3.1,0.1,18,55,0,,,,,,,,,
박스과자,오리온 참붕어빵 174g 6개입,2450,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 참붕어빵 174g 6개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 참붕어빵 174g 6개입_상세.png,121,17,10,2,5,2.3,0.1,20,70,0,,,,,,,,,
박스과자,오리온 초코칩쿠키 오리지널 256g 4개입,4000,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 초코칩쿠키 오리지널 256g 4개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 초코칩쿠키 오리지널 256g 4개입_상세.png,328,42,18,4,16,8,0.5,12,200,0,,,,,,,,,
박스과자,오리온 오뜨 쇼콜라 300g 12개입,5890,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오뜨 쇼콜라 300g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 오뜨 쇼콜라 300g 12개입_상세.png,123,13,8,2,7,4.3,0.07,21,55,0,,,,,,,,,
박스과자,오리온 고소미 216g 12개입,4500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 고소미 216g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 고소미 216g 12개입_상세.png,93,11,5,1,5,2.5,0.1,1.4,55,0,,,,,,,,,
박스과자,오리온 쿠쉬쿠쉬 크루아상맛 65.6g,1500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 쿠쉬쿠쉬 크루아상맛 65.6g_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 쿠쉬쿠쉬 크루아상맛 65.6g_상세.png,148,24,4,3,4.9,2.9,0,0,180,0,,,,,,,,,
박스과자,오리온 카스타드 276g 12개입,4500,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 카스타드 276g 12개입_상품.png,https://d1n7ys0in64qon.cloudfront.net/kkakka_image/오리온 카스타드 276g 12개입_상세.png,102,11,6,1,6,2.6,0,28,40,0,,,,,,,,,
